GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
cen42010sex2_age0,"April 1, 2010 - Census - Female; Total - 0"
est42010sex0_age0,"April 1, 2010 - Estimates Base - Both Sexes; Total - 0"
est42010sex1_age0,"April 1, 2010 - Estimates Base - Male; Total - 0"
est42010sex2_age0,"April 1, 2010 - Estimates Base - Female; Total - 0"
est72010sex0_age0,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 0
est72010sex1_age0,Population Estimate (as of July 1) - 2010 - Male; Total - 0
est72010sex2_age0,Population Estimate (as of July 1) - 2010 - Female; Total - 0
est72011sex0_age0,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 0
est72011sex1_age0,Population Estimate (as of July 1) - 2011 - Male; Total - 0
est72011sex2_age0,Population Estimate (as of July 1) - 2011 - Female; Total - 0
est72012sex0_age0,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 0
est72012sex1_age0,Population Estimate (as of July 1) - 2012 - Male; Total - 0
est72012sex2_age0,Population Estimate (as of July 1) - 2012 - Female; Total - 0
est72013sex0_age0,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 0
est72013sex1_age0,Population Estimate (as of July 1) - 2013 - Male; Total - 0
est72013sex2_age0,Population Estimate (as of July 1) - 2013 - Female; Total - 0
est72014sex0_age0,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 0
est72014sex1_age0,Population Estimate (as of July 1) - 2014 - Male; Total - 0
est72014sex2_age0,Population Estimate (as of July 1) - 2014 - Female; Total - 0
est72015sex0_age0,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 0
est72015sex1_age0,Population Estimate (as of July 1) - 2015 - Male; Total - 0
est72015sex2_age0,Population Estimate (as of July 1) - 2015 - Female; Total - 0
est72016sex0_age0,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 0
est72016sex1_age0,Population Estimate (as of July 1) - 2016 - Male; Total - 0
est72016sex2_age0,Population Estimate (as of July 1) - 2016 - Female; Total - 0
est72017sex0_age0,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 0
est72017sex1_age0,Population Estimate (as of July 1) - 2017 - Male; Total - 0
est72017sex2_age0,Population Estimate (as of July 1) - 2017 - Female; Total - 0
est72018sex0_age0,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 0
est72018sex1_age0,Population Estimate (as of July 1) - 2018 - Male; Total - 0
est72018sex2_age0,Population Estimate (as of July 1) - 2018 - Female; Total - 0
cen42010sex0_age1,"April 1, 2010 - Census - Both Sexes; Total - 1"
cen42010sex1_age1,"April 1, 2010 - Census - Male; Total - 1"
cen42010sex2_age1,"April 1, 2010 - Census - Female; Total - 1"
est42010sex0_age1,"April 1, 2010 - Estimates Base - Both Sexes; Total - 1"
est42010sex1_age1,"April 1, 2010 - Estimates Base - Male; Total - 1"
est42010sex2_age1,"April 1, 2010 - Estimates Base - Female; Total - 1"
est72010sex0_age1,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 1
est72010sex1_age1,Population Estimate (as of July 1) - 2010 - Male; Total - 1
est72010sex2_age1,Population Estimate (as of July 1) - 2010 - Female; Total - 1
est72011sex0_age1,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 1
est72011sex1_age1,Population Estimate (as of July 1) - 2011 - Male; Total - 1
est72011sex2_age1,Population Estimate (as of July 1) - 2011 - Female; Total - 1
est72012sex0_age1,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 1
est72012sex1_age1,Population Estimate (as of July 1) - 2012 - Male; Total - 1
est72012sex2_age1,Population Estimate (as of July 1) - 2012 - Female; Total - 1
est72013sex0_age1,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 1
est72013sex1_age1,Population Estimate (as of July 1) - 2013 - Male; Total - 1
est72013sex2_age1,Population Estimate (as of July 1) - 2013 - Female; Total - 1
est72014sex0_age1,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 1
est72014sex1_age1,Population Estimate (as of July 1) - 2014 - Male; Total - 1
est72014sex2_age1,Population Estimate (as of July 1) - 2014 - Female; Total - 1
est72015sex0_age1,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 1
est72015sex1_age1,Population Estimate (as of July 1) - 2015 - Male; Total - 1
est72015sex2_age1,Population Estimate (as of July 1) - 2015 - Female; Total - 1
est72016sex0_age1,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 1
est72016sex1_age1,Population Estimate (as of July 1) - 2016 - Male; Total - 1
est72016sex2_age1,Population Estimate (as of July 1) - 2016 - Female; Total - 1
est72017sex0_age1,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 1
est72017sex1_age1,Population Estimate (as of July 1) - 2017 - Male; Total - 1
est72017sex2_age1,Population Estimate (as of July 1) - 2017 - Female; Total - 1
est72018sex0_age1,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 1
est72018sex1_age1,Population Estimate (as of July 1) - 2018 - Male; Total - 1
est72018sex2_age1,Population Estimate (as of July 1) - 2018 - Female; Total - 1
cen42010sex0_age2,"April 1, 2010 - Census - Both Sexes; Total - 2"
cen42010sex1_age2,"April 1, 2010 - Census - Male; Total - 2"
cen42010sex2_age2,"April 1, 2010 - Census - Female; Total - 2"
est42010sex0_age2,"April 1, 2010 - Estimates Base - Both Sexes; Total - 2"
est42010sex1_age2,"April 1, 2010 - Estimates Base - Male; Total - 2"
est42010sex2_age2,"April 1, 2010 - Estimates Base - Female; Total - 2"
est72010sex0_age2,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 2
est72010sex1_age2,Population Estimate (as of July 1) - 2010 - Male; Total - 2
est72010sex2_age2,Population Estimate (as of July 1) - 2010 - Female; Total - 2
est72011sex0_age2,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 2
est72011sex1_age2,Population Estimate (as of July 1) - 2011 - Male; Total - 2
est72011sex2_age2,Population Estimate (as of July 1) - 2011 - Female; Total - 2
est72012sex0_age2,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 2
est72012sex1_age2,Population Estimate (as of July 1) - 2012 - Male; Total - 2
est72012sex2_age2,Population Estimate (as of July 1) - 2012 - Female; Total - 2
est72013sex0_age2,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 2
est72013sex1_age2,Population Estimate (as of July 1) - 2013 - Male; Total - 2
est72013sex2_age2,Population Estimate (as of July 1) - 2013 - Female; Total - 2
est72014sex0_age2,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 2
est72014sex1_age2,Population Estimate (as of July 1) - 2014 - Male; Total - 2
est72014sex2_age2,Population Estimate (as of July 1) - 2014 - Female; Total - 2
est72015sex0_age2,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 2
est72015sex1_age2,Population Estimate (as of July 1) - 2015 - Male; Total - 2
est72015sex2_age2,Population Estimate (as of July 1) - 2015 - Female; Total - 2
est72016sex0_age2,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 2
est72016sex1_age2,Population Estimate (as of July 1) - 2016 - Male; Total - 2
est72016sex2_age2,Population Estimate (as of July 1) - 2016 - Female; Total - 2
est72017sex0_age2,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 2
est72017sex1_age2,Population Estimate (as of July 1) - 2017 - Male; Total - 2
est72017sex2_age2,Population Estimate (as of July 1) - 2017 - Female; Total - 2
est72018sex0_age2,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 2
est72018sex1_age2,Population Estimate (as of July 1) - 2018 - Male; Total - 2
est72018sex2_age2,Population Estimate (as of July 1) - 2018 - Female; Total - 2
cen42010sex0_age3,"April 1, 2010 - Census - Both Sexes; Total - 3"
cen42010sex1_age3,"April 1, 2010 - Census - Male; Total - 3"
cen42010sex2_age3,"April 1, 2010 - Census - Female; Total - 3"
est42010sex0_age3,"April 1, 2010 - Estimates Base - Both Sexes; Total - 3"
est42010sex1_age3,"April 1, 2010 - Estimates Base - Male; Total - 3"
est42010sex2_age3,"April 1, 2010 - Estimates Base - Female; Total - 3"
est72010sex0_age3,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 3
est72010sex1_age3,Population Estimate (as of July 1) - 2010 - Male; Total - 3
est72010sex2_age3,Population Estimate (as of July 1) - 2010 - Female; Total - 3
est72011sex0_age3,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 3
est72011sex1_age3,Population Estimate (as of July 1) - 2011 - Male; Total - 3
est72011sex2_age3,Population Estimate (as of July 1) - 2011 - Female; Total - 3
est72012sex0_age3,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 3
est72012sex1_age3,Population Estimate (as of July 1) - 2012 - Male; Total - 3
est72012sex2_age3,Population Estimate (as of July 1) - 2012 - Female; Total - 3
est72013sex0_age3,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 3
est72013sex1_age3,Population Estimate (as of July 1) - 2013 - Male; Total - 3
est72013sex2_age3,Population Estimate (as of July 1) - 2013 - Female; Total - 3
est72014sex0_age3,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 3
est72014sex1_age3,Population Estimate (as of July 1) - 2014 - Male; Total - 3
est72014sex2_age3,Population Estimate (as of July 1) - 2014 - Female; Total - 3
est72015sex0_age3,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 3
est72015sex1_age3,Population Estimate (as of July 1) - 2015 - Male; Total - 3
est72015sex2_age3,Population Estimate (as of July 1) - 2015 - Female; Total - 3
est72016sex0_age3,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 3
est72016sex1_age3,Population Estimate (as of July 1) - 2016 - Male; Total - 3
est72016sex2_age3,Population Estimate (as of July 1) - 2016 - Female; Total - 3
est72017sex0_age3,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 3
est72017sex1_age3,Population Estimate (as of July 1) - 2017 - Male; Total - 3
est72017sex2_age3,Population Estimate (as of July 1) - 2017 - Female; Total - 3
est72018sex0_age3,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 3
est72018sex1_age3,Population Estimate (as of July 1) - 2018 - Male; Total - 3
est72018sex2_age3,Population Estimate (as of July 1) - 2018 - Female; Total - 3
cen42010sex0_age4,"April 1, 2010 - Census - Both Sexes; Total - 4"
cen42010sex1_age4,"April 1, 2010 - Census - Male; Total - 4"
cen42010sex2_age4,"April 1, 2010 - Census - Female; Total - 4"
est42010sex0_age4,"April 1, 2010 - Estimates Base - Both Sexes; Total - 4"
est42010sex1_age4,"April 1, 2010 - Estimates Base - Male; Total - 4"
est42010sex2_age4,"April 1, 2010 - Estimates Base - Female; Total - 4"
est72010sex0_age4,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 4
est72010sex1_age4,Population Estimate (as of July 1) - 2010 - Male; Total - 4
est72010sex2_age4,Population Estimate (as of July 1) - 2010 - Female; Total - 4
est72011sex0_age4,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 4
est72011sex1_age4,Population Estimate (as of July 1) - 2011 - Male; Total - 4
est72011sex2_age4,Population Estimate (as of July 1) - 2011 - Female; Total - 4
est72012sex0_age4,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 4
est72012sex1_age4,Population Estimate (as of July 1) - 2012 - Male; Total - 4
est72012sex2_age4,Population Estimate (as of July 1) - 2012 - Female; Total - 4
est72013sex0_age4,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 4
est72013sex1_age4,Population Estimate (as of July 1) - 2013 - Male; Total - 4
est72013sex2_age4,Population Estimate (as of July 1) - 2013 - Female; Total - 4
est72014sex0_age4,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 4
est72014sex1_age4,Population Estimate (as of July 1) - 2014 - Male; Total - 4
est72014sex2_age4,Population Estimate (as of July 1) - 2014 - Female; Total - 4
est72015sex0_age4,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 4
est72015sex1_age4,Population Estimate (as of July 1) - 2015 - Male; Total - 4
est72015sex2_age4,Population Estimate (as of July 1) - 2015 - Female; Total - 4
est72016sex0_age4,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 4
est72016sex1_age4,Population Estimate (as of July 1) - 2016 - Male; Total - 4
est72016sex2_age4,Population Estimate (as of July 1) - 2016 - Female; Total - 4
est72017sex0_age4,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 4
est72017sex1_age4,Population Estimate (as of July 1) - 2017 - Male; Total - 4
est72017sex2_age4,Population Estimate (as of July 1) - 2017 - Female; Total - 4
est72018sex0_age4,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 4
est72018sex1_age4,Population Estimate (as of July 1) - 2018 - Male; Total - 4
est72018sex2_age4,Population Estimate (as of July 1) - 2018 - Female; Total - 4
cen42010sex0_age5,"April 1, 2010 - Census - Both Sexes; Total - 5"
cen42010sex1_age5,"April 1, 2010 - Census - Male; Total - 5"
cen42010sex2_age5,"April 1, 2010 - Census - Female; Total - 5"
est42010sex0_age5,"April 1, 2010 - Estimates Base - Both Sexes; Total - 5"
est42010sex1_age5,"April 1, 2010 - Estimates Base - Male; Total - 5"
est42010sex2_age5,"April 1, 2010 - Estimates Base - Female; Total - 5"
est72010sex0_age5,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 5
est72010sex1_age5,Population Estimate (as of July 1) - 2010 - Male; Total - 5
est72010sex2_age5,Population Estimate (as of July 1) - 2010 - Female; Total - 5
est72011sex0_age5,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 5
est72011sex1_age5,Population Estimate (as of July 1) - 2011 - Male; Total - 5
est72011sex2_age5,Population Estimate (as of July 1) - 2011 - Female; Total - 5
est72012sex0_age5,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 5
est72012sex1_age5,Population Estimate (as of July 1) - 2012 - Male; Total - 5
est72012sex2_age5,Population Estimate (as of July 1) - 2012 - Female; Total - 5
est72013sex0_age5,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 5
est72013sex1_age5,Population Estimate (as of July 1) - 2013 - Male; Total - 5
est72013sex2_age5,Population Estimate (as of July 1) - 2013 - Female; Total - 5
est72014sex0_age5,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 5
est72014sex1_age5,Population Estimate (as of July 1) - 2014 - Male; Total - 5
est72014sex2_age5,Population Estimate (as of July 1) - 2014 - Female; Total - 5
est72015sex0_age5,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 5
est72015sex1_age5,Population Estimate (as of July 1) - 2015 - Male; Total - 5
est72015sex2_age5,Population Estimate (as of July 1) - 2015 - Female; Total - 5
est72016sex0_age5,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 5
est72016sex1_age5,Population Estimate (as of July 1) - 2016 - Male; Total - 5
est72016sex2_age5,Population Estimate (as of July 1) - 2016 - Female; Total - 5
est72017sex0_age5,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 5
est72017sex1_age5,Population Estimate (as of July 1) - 2017 - Male; Total - 5
est72017sex2_age5,Population Estimate (as of July 1) - 2017 - Female; Total - 5
est72018sex0_age5,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5
est72018sex1_age5,Population Estimate (as of July 1) - 2018 - Male; Total - 5
est72018sex2_age5,Population Estimate (as of July 1) - 2018 - Female; Total - 5
cen42010sex0_age6,"April 1, 2010 - Census - Both Sexes; Total - 6"
cen42010sex1_age6,"April 1, 2010 - Census - Male; Total - 6"
cen42010sex2_age6,"April 1, 2010 - Census - Female; Total - 6"
est42010sex0_age6,"April 1, 2010 - Estimates Base - Both Sexes; Total - 6"
est42010sex1_age6,"April 1, 2010 - Estimates Base - Male; Total - 6"
est42010sex2_age6,"April 1, 2010 - Estimates Base - Female; Total - 6"
est72010sex0_age6,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 6
est72010sex1_age6,Population Estimate (as of July 1) - 2010 - Male; Total - 6
est72010sex2_age6,Population Estimate (as of July 1) - 2010 - Female; Total - 6
est72011sex0_age6,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 6
est72011sex1_age6,Population Estimate (as of July 1) - 2011 - Male; Total - 6
est72011sex2_age6,Population Estimate (as of July 1) - 2011 - Female; Total - 6
est72012sex0_age6,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 6
est72012sex1_age6,Population Estimate (as of July 1) - 2012 - Male; Total - 6
est72012sex2_age6,Population Estimate (as of July 1) - 2012 - Female; Total - 6
est72013sex0_age6,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 6
est72013sex1_age6,Population Estimate (as of July 1) - 2013 - Male; Total - 6
est72013sex2_age6,Population Estimate (as of July 1) - 2013 - Female; Total - 6
est72014sex0_age6,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 6
est72014sex1_age6,Population Estimate (as of July 1) - 2014 - Male; Total - 6
est72014sex2_age6,Population Estimate (as of July 1) - 2014 - Female; Total - 6
est72015sex0_age6,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 6
est72015sex1_age6,Population Estimate (as of July 1) - 2015 - Male; Total - 6
est72015sex2_age6,Population Estimate (as of July 1) - 2015 - Female; Total - 6
est72016sex0_age6,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 6
est72016sex1_age6,Population Estimate (as of July 1) - 2016 - Male; Total - 6
est72016sex2_age6,Population Estimate (as of July 1) - 2016 - Female; Total - 6
est72017sex0_age6,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 6
est72017sex1_age6,Population Estimate (as of July 1) - 2017 - Male; Total - 6
est72017sex2_age6,Population Estimate (as of July 1) - 2017 - Female; Total - 6
est72018sex0_age6,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 6
est72018sex1_age6,Population Estimate (as of July 1) - 2018 - Male; Total - 6
est72018sex2_age6,Population Estimate (as of July 1) - 2018 - Female; Total - 6
cen42010sex0_age7,"April 1, 2010 - Census - Both Sexes; Total - 7"
cen42010sex1_age7,"April 1, 2010 - Census - Male; Total - 7"
cen42010sex2_age7,"April 1, 2010 - Census - Female; Total - 7"
est42010sex0_age7,"April 1, 2010 - Estimates Base - Both Sexes; Total - 7"
est42010sex1_age7,"April 1, 2010 - Estimates Base - Male; Total - 7"
est42010sex2_age7,"April 1, 2010 - Estimates Base - Female; Total - 7"
est72010sex0_age7,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 7
est72010sex1_age7,Population Estimate (as of July 1) - 2010 - Male; Total - 7
est72010sex2_age7,Population Estimate (as of July 1) - 2010 - Female; Total - 7
est72011sex0_age7,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 7
est72011sex1_age7,Population Estimate (as of July 1) - 2011 - Male; Total - 7
est72011sex2_age7,Population Estimate (as of July 1) - 2011 - Female; Total - 7
est72012sex0_age7,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 7
est72012sex1_age7,Population Estimate (as of July 1) - 2012 - Male; Total - 7
est72012sex2_age7,Population Estimate (as of July 1) - 2012 - Female; Total - 7
est72013sex0_age7,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 7
est72013sex1_age7,Population Estimate (as of July 1) - 2013 - Male; Total - 7
est72013sex2_age7,Population Estimate (as of July 1) - 2013 - Female; Total - 7
est72014sex0_age7,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 7
est72014sex1_age7,Population Estimate (as of July 1) - 2014 - Male; Total - 7
est72014sex2_age7,Population Estimate (as of July 1) - 2014 - Female; Total - 7
est72015sex0_age7,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 7
est72015sex1_age7,Population Estimate (as of July 1) - 2015 - Male; Total - 7
est72015sex2_age7,Population Estimate (as of July 1) - 2015 - Female; Total - 7
est72016sex0_age7,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 7
est72016sex1_age7,Population Estimate (as of July 1) - 2016 - Male; Total - 7
est72016sex2_age7,Population Estimate (as of July 1) - 2016 - Female; Total - 7
est72017sex0_age7,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 7
est72017sex1_age7,Population Estimate (as of July 1) - 2017 - Male; Total - 7
est72017sex2_age7,Population Estimate (as of July 1) - 2017 - Female; Total - 7
est72018sex0_age7,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 7
est72018sex1_age7,Population Estimate (as of July 1) - 2018 - Male; Total - 7
est72018sex2_age7,Population Estimate (as of July 1) - 2018 - Female; Total - 7
cen42010sex0_age8,"April 1, 2010 - Census - Both Sexes; Total - 8"
cen42010sex1_age8,"April 1, 2010 - Census - Male; Total - 8"
cen42010sex2_age8,"April 1, 2010 - Census - Female; Total - 8"
est42010sex0_age8,"April 1, 2010 - Estimates Base - Both Sexes; Total - 8"
est42010sex1_age8,"April 1, 2010 - Estimates Base - Male; Total - 8"
est42010sex2_age8,"April 1, 2010 - Estimates Base - Female; Total - 8"
est72010sex0_age8,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 8
est72010sex1_age8,Population Estimate (as of July 1) - 2010 - Male; Total - 8
est72010sex2_age8,Population Estimate (as of July 1) - 2010 - Female; Total - 8
est72011sex0_age8,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 8
est72011sex1_age8,Population Estimate (as of July 1) - 2011 - Male; Total - 8
est72011sex2_age8,Population Estimate (as of July 1) - 2011 - Female; Total - 8
est72012sex0_age8,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 8
est72012sex1_age8,Population Estimate (as of July 1) - 2012 - Male; Total - 8
est72012sex2_age8,Population Estimate (as of July 1) - 2012 - Female; Total - 8
est72013sex0_age8,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 8
est72013sex1_age8,Population Estimate (as of July 1) - 2013 - Male; Total - 8
est72013sex2_age8,Population Estimate (as of July 1) - 2013 - Female; Total - 8
est72014sex0_age8,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 8
est72014sex1_age8,Population Estimate (as of July 1) - 2014 - Male; Total - 8
est72014sex2_age8,Population Estimate (as of July 1) - 2014 - Female; Total - 8
est72015sex0_age8,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 8
est72015sex1_age8,Population Estimate (as of July 1) - 2015 - Male; Total - 8
est72015sex2_age8,Population Estimate (as of July 1) - 2015 - Female; Total - 8
est72016sex0_age8,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 8
est72016sex1_age8,Population Estimate (as of July 1) - 2016 - Male; Total - 8
est72016sex2_age8,Population Estimate (as of July 1) - 2016 - Female; Total - 8
est72017sex0_age8,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 8
est72017sex1_age8,Population Estimate (as of July 1) - 2017 - Male; Total - 8
est72017sex2_age8,Population Estimate (as of July 1) - 2017 - Female; Total - 8
est72018sex0_age8,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 8
est72018sex1_age8,Population Estimate (as of July 1) - 2018 - Male; Total - 8
est72018sex2_age8,Population Estimate (as of July 1) - 2018 - Female; Total - 8
cen42010sex0_age9,"April 1, 2010 - Census - Both Sexes; Total - 9"
cen42010sex1_age9,"April 1, 2010 - Census - Male; Total - 9"
cen42010sex2_age9,"April 1, 2010 - Census - Female; Total - 9"
est42010sex0_age9,"April 1, 2010 - Estimates Base - Both Sexes; Total - 9"
est42010sex1_age9,"April 1, 2010 - Estimates Base - Male; Total - 9"
est42010sex2_age9,"April 1, 2010 - Estimates Base - Female; Total - 9"
est72010sex0_age9,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 9
est72010sex1_age9,Population Estimate (as of July 1) - 2010 - Male; Total - 9
est72010sex2_age9,Population Estimate (as of July 1) - 2010 - Female; Total - 9
est72011sex0_age9,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 9
est72011sex1_age9,Population Estimate (as of July 1) - 2011 - Male; Total - 9
est72011sex2_age9,Population Estimate (as of July 1) - 2011 - Female; Total - 9
est72012sex0_age9,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 9
est72012sex1_age9,Population Estimate (as of July 1) - 2012 - Male; Total - 9
est72012sex2_age9,Population Estimate (as of July 1) - 2012 - Female; Total - 9
est72013sex0_age9,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 9
est72013sex1_age9,Population Estimate (as of July 1) - 2013 - Male; Total - 9
est72013sex2_age9,Population Estimate (as of July 1) - 2013 - Female; Total - 9
est72014sex0_age9,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 9
est72014sex1_age9,Population Estimate (as of July 1) - 2014 - Male; Total - 9
est72014sex2_age9,Population Estimate (as of July 1) - 2014 - Female; Total - 9
est72015sex0_age9,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 9
est72015sex1_age9,Population Estimate (as of July 1) - 2015 - Male; Total - 9
est72015sex2_age9,Population Estimate (as of July 1) - 2015 - Female; Total - 9
est72016sex0_age9,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 9
est72016sex1_age9,Population Estimate (as of July 1) - 2016 - Male; Total - 9
est72016sex2_age9,Population Estimate (as of July 1) - 2016 - Female; Total - 9
est72017sex0_age9,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 9
est72017sex1_age9,Population Estimate (as of July 1) - 2017 - Male; Total - 9
est72017sex2_age9,Population Estimate (as of July 1) - 2017 - Female; Total - 9
